model,gnafbar,nafmvhalf,nafmslope,nafmfactor,nafhvhalf,nafhslope,nafhfactor,gkdrbar,kdrnvhalf,kdrnslope,kdrnfactor,ghcnsbar,hcnratio,hcnmifo,hcnmiso,hcnmifd,hcnmisd,hcnffactor,hcnsfactor,gnapbar,napmvhalf,napmslope,napmfactor,naphvhalf,naphslope,naphfactor,gkabar,kamvhalf,kamslope,kamfactor,kahvhalf,kahslope,kahfactor,ghvabar,hvamvhalf,hvamslope,hvamfactor,hvahvhalf,hvahslope,hvahfactor,glvabar,lvamvhalf,lvamslope,lvamfactor,lvahvhalf,lvahslope,lvahfactor,gkmbar,kmvhalfl,kmkl,kmmfactor,gskbar,Rm,tauca,CM
129,3726433.8,-26.181887,8.3888988,0.97674602,-19.841129,5.1672029,1.1477211,2254680.0,-21.86582,16.030331,1.173861,30498.465,1.680429,70.787262,-1.8597291,8.0968542,18.637669,0.82597202,1.035321,67210.18,46.997303,4.7654238,1.099462,53.647999,8.1430559,1.096819,18619.73,-15.347105,14.947169,0.91559899,-60.690701,9.0704784,1.10587,155473.59,14.363406,8.541853,0.83868301,39.232544,7.3050809,1.053847,147296.8,-48.487267,9.0131636,0.923316,-87.127899,6.5173588,1.112017,91783.555,-44.575729,-10.423178,0.84135503,55857.008,67758.898,147.73819,1.016955
130,7677966.0,-23.808912,8.6493568,1.074882,-19.658482,6.9977789,1.1601959,3867279.5,-20.873999,21.232731,1.02001,29935.227,2.198643,69.938538,0.0082419999,11.62425,18.638699,0.87443,0.88521302,63791.277,44.412083,3.869693,0.83633697,50.75481,10.231239,0.90751201,41894.227,-20.802111,15.513422,1.198524,-55.669979,8.1699839,1.119648,178388.42,12.862256,9.08113,0.94319701,38.280121,9.933259,0.82681,123920.69,-48.125828,9.530736,1.100786,-85.069588,7.7867918,1.197692,100201.34,-35.371544,-9.1638994,0.95652902,40999.492,37383.246,111.68555,1.1984349
131,4915169.0,-21.687305,10.741495,1.074232,-20.937254,6.5074739,1.1387351,3450070.2,-13.049914,18.239889,0.95746601,29343.383,1.945141,70.29985,-1.383611,8.6218033,14.230776,1.042716,1.103587,39855.293,48.066818,3.810041,1.181247,49.087238,8.6051903,0.94884902,42395.137,-20.515526,15.92413,1.032118,-60.683746,8.3627348,1.123935,306979.88,6.8896918,6.9828668,1.065127,41.228134,9.9695644,0.95300001,133166.09,-50.071808,9.4565964,0.96078497,-93.018906,6.440412,1.127423,103151.17,-38.529797,-11.856492,0.98806798,42692.441,29238.861,65.579811,1.0552239
132,3783869.8,-21.934181,8.2189436,1.157923,-28.338598,6.0954552,0.866992,5611643.5,-13.199488,16.092159,1.039942,47310.328,2.050282,78.594116,0.123043,9.2110109,16.983961,0.93584299,1.09522,39881.617,47.062126,5.0003152,0.91468799,45.113644,9.6243763,1.017234,25936.842,-18.387844,17.925842,1.081329,-56.688889,9.7081861,0.88065302,270056.09,12.517365,8.4300766,0.92777097,36.71587,8.4182577,1.0041651,147402.19,-56.622849,6.761261,0.99624401,-91.7995,6.9680982,1.047363,64592.73,-43.026192,-10.263969,1.152456,49085.203,68770.164,143.07178,0.96619898
133,5237515.5,-23.607319,7.6545458,0.91426402,-26.796343,6.161613,1.167429,1519904.4,-16.696238,19.399525,0.91352701,39322.559,1.774791,75.284142,-0.060385998,10.543717,14.087651,0.90728301,0.80653399,54950.281,46.774521,4.9880738,1.133841,45.555988,10.576745,1.198303,35976.816,-16.179983,17.195576,0.82043397,-57.067165,7.9892511,1.163143,202193.27,6.7364101,8.027832,1.044066,38.266685,7.8466811,1.162338,79056.984,-49.674469,7.0273671,0.97496098,-90.673157,7.5308018,1.0295039,79414.172,-36.205669,-8.9839497,0.80144399,94702.078,33560.062,86.253868,1.22471
134,3615042.8,-25.780472,9.5093145,1.192987,-22.126028,6.2096,1.1113009,1956189.8,-16.582153,19.174345,1.153347,30532.756,1.905581,78.429832,2.46842,8.1711559,12.816496,0.83884001,1.033065,35861.133,49.688374,3.5817289,1.142342,48.660187,10.35823,1.163977,33096.453,-14.582854,17.172426,0.85108,-62.099274,8.1053677,1.026702,131791.23,7.7145872,9.9154577,1.140449,37.958359,8.8367596,1.140229,133867.59,-48.77903,9.4987564,0.937199,-92.431282,7.7732768,1.074913,215945.39,-38.3069,-10.337276,0.95747399,86632.391,66044.773,56.537792,0.990839
135,3659700.8,-25.379753,8.46591,0.98062199,-19.500607,6.4206252,1.029231,1631801.9,-22.12936,16.039246,1.195562,44270.809,1.5156831,72.808578,1.9363919,9.1249771,17.199003,0.93844002,0.92714,35490.449,45.865932,3.641094,1.146091,46.888405,10.896403,1.058735,34062.258,-18.642828,12.940058,0.89474702,-62.687279,8.7092991,1.035013,136548.52,7.9246459,7.0799661,1.1562051,39.480675,8.9018517,0.86249799,44657.957,-51.498165,8.1482763,0.82699901,-88.751328,7.4111271,0.96218902,149891.95,-41.10416,-9.5216913,0.97438699,37774.938,76000.82,119.62542,1.137817
136,3616713.2,-24.07777,10.069895,1.118372,-27.044823,5.9952841,1.007571,4939923.5,-16.368256,16.677988,1.0970449,24006.803,1.935922,70.372902,6.0495839,8.9432087,12.989244,0.85277301,0.852633,65387.297,44.718163,4.4845271,0.97338003,52.891979,10.562068,0.89017701,21795.822,-16.397768,15.280705,1.037577,-60.341492,9.3204823,1.1699049,191153.77,7.6129451,9.9320641,0.84850401,33.968578,10.036519,1.0751621,76970.453,-51.390167,8.3727894,1.0705251,-84.456459,5.4993591,1.060396,137456.95,-40.34972,-8.3999319,0.85281801,84413.523,72925.766,119.06146,1.037146
137,6285722.0,-26.675354,9.087491,1.031051,-22.585157,5.9885392,1.190941,5138167.0,-18.537054,18.048227,1.15139,34691.688,1.811342,76.032425,-0.180527,11.611133,14.131416,0.97730601,1.1573091,25088.445,47.608017,3.5342641,1.092937,49.794258,8.4465322,1.069942,23329.951,-16.419189,12.155967,0.81581002,-58.57856,6.6912832,0.937105,293122.47,13.366864,6.9743142,0.97496402,33.050571,7.502274,1.1992019,115659.16,-50.887421,6.7492719,0.86498702,-90.786766,5.486095,1.050562,137278.69,-38.359818,-11.578401,0.98057503,62013.117,78749.414,121.34058,1.104582
138,5360275.0,-22.113226,8.983017,0.936836,-19.90774,6.9218512,1.180073,4057632.0,-13.966819,23.320929,1.087001,26713.711,1.762162,77.564201,-1.995242,10.354248,12.939002,0.88319802,1.084579,62818.062,45.564049,4.0335021,1.099122,45.142067,10.59157,0.92145997,12854.076,-15.546579,14.61182,0.83868998,-55.196316,9.1682873,1.0295039,331475.22,8.781559,8.51717,0.817554,32.253857,8.4588985,0.978122,104622.96,-49.147388,8.8906126,0.90819103,-88.526894,5.6219049,1.085904,130539.2,-39.461498,-9.4542418,1.086164,83969.508,56521.762,47.604889,1.242219
