model,gnafbar,nafmvhalf,nafmslope,nafmfactor,nafhvhalf,nafhslope,nafhfactor,gkdrbar,kdrnvhalf,kdrnslope,kdrnfactor,ghcnsbar,hcnratio,hcnmifo,hcnmiso,hcnmifd,hcnmisd,hcnffactor,hcnsfactor,gnapbar,napmvhalf,napmslope,napmfactor,naphvhalf,naphslope,naphfactor,gkabar,kamvhalf,kamslope,kamfactor,kahvhalf,kahslope,kahfactor,ghvabar,hvamvhalf,hvamslope,hvamfactor,hvahvhalf,hvahslope,hvahfactor,glvabar,lvamvhalf,lvamslope,lvamfactor,lvahvhalf,lvahslope,lvahfactor,gkmbar,kmvhalfl,kmkl,kmmfactor,gskbar,Rm,tauca,CM
0,4765880.0,-26.081997,8.9123755,1.030942,-20.078032,5.2723341,0.95875198,3108793.5,-17.417606,18.230761,1.101038,24317.836,2.193996,71.995735,1.463661,11.700787,13.828268,0.906973,0.95287502,64532.387,45.784485,5.1943612,1.004385,44.268085,10.700297,1.1210099,26325.611,-18.064455,16.317701,0.98511302,-57.547764,6.8846912,1.123463,174604.77,6.7483482,9.1057196,0.933492,40.067921,10.670987,1.122735,57517.66,-49.040756,8.8258181,0.94785798,-86.570389,7.409616,1.155318,141421.94,-43.289959,-8.972908,1.014706,78207.836,26299.055,145.9541,1.0337141
1,4499819.5,-21.672049,10.626158,0.85289598,-28.326336,6.7718992,1.18504,1587249.4,-14.431284,17.068766,1.056585,31124.078,1.8660949,70.111168,1.6957279,11.039925,14.73884,0.93779403,0.88304198,30668.527,48.642452,4.0522871,0.807908,52.784039,11.452334,0.937464,13037.66,-22.547224,16.180246,1.160308,-53.744251,8.9239817,1.021281,151913.7,7.8599348,8.6577063,1.002501,40.15736,10.25322,1.1494091,131113.03,-57.088589,7.0452971,1.15286,-90.43911,6.5237031,0.884381,133085.11,-35.822376,-10.824162,1.093261,61263.871,75185.242,144.02496,0.90988499
2,4232064.0,-26.910824,8.4050264,0.98747098,-25.697306,6.905333,0.89750397,4088205.5,-20.628794,19.089108,0.83965498,63731.191,1.757066,75.371284,2.2803979,9.7127275,16.967888,0.82997501,0.99894899,33002.496,48.394688,4.1872821,1.090837,47.614704,11.87812,1.066805,40517.57,-14.696797,16.627439,0.82138503,-61.599712,9.1964045,1.127322,294612.5,7.472352,7.208354,1.150234,35.079506,9.032217,0.88534099,151182.94,-55.677082,7.055284,0.97866797,-85.185448,6.5475798,1.11219,122957.2,-35.754616,-10.231915,0.91877502,54157.906,68324.961,92.071106,1.096969
3,7248591.0,-21.853117,9.0850859,0.97924298,-26.843889,7.0411201,1.0379651,6207253.0,-13.579669,16.362766,0.91362202,30798.797,1.854267,78.820168,7.816186,10.695347,14.097144,0.919622,1.048947,18689.846,51.646431,3.6816249,1.097057,47.103989,11.016568,1.030496,39753.305,-20.991226,15.048035,0.85302198,-61.354393,8.7507248,1.106138,148930.7,8.6234379,9.3408098,0.86854899,40.787579,9.0860844,0.87767798,60282.934,-52.118156,9.0015154,0.98114401,-84.687065,7.9561491,0.86902797,93764.781,-43.042316,-11.479921,0.98162901,31742.248,61650.605,50.374409,1.109675
4,5122954.0,-24.560061,10.852505,1.012542,-22.91803,6.0143781,1.034146,5836150.5,-19.012094,19.282698,1.024626,42311.066,1.587103,79.086754,2.4836709,10.16394,15.86283,0.81000203,0.94613701,25865.156,48.180824,3.9239049,0.92963898,46.021851,9.214592,0.90586901,23084.098,-14.337578,16.916037,1.054686,-58.571316,9.8032293,1.0272501,345257.06,10.98701,8.1330223,1.1507339,41.96096,7.2550182,0.96119797,103273.17,-53.618446,9.0771255,0.91629899,-87.029739,5.540462,1.136602,223515.14,-35.408234,-10.262004,1.143159,51187.195,40300.117,154.9772,0.85708398
5,7485633.0,-22.454391,11.106263,0.9738,-20.195023,5.6753402,0.93533403,6357165.0,-20.513321,19.283073,1.111462,46224.316,1.980195,75.9245,2.7297361,9.3946457,14.580219,0.98627001,0.83784598,34982.59,48.001579,5.0221319,1.121929,45.45208,8.4626379,0.95446402,26247.746,-18.438599,17.836945,0.93866402,-56.903049,9.2489681,1.062423,218240.02,14.759148,9.075161,1.061112,41.510101,8.436554,1.1735539,77411.156,-56.851574,9.7225256,0.84603101,-90.644722,7.0347691,0.89354199,202704.62,-39.58342,-8.4392109,1.197827,60646.801,52627.992,59.158203,1.2498519
6,8314366.5,-24.662785,9.7186565,0.91999,-21.46566,6.1587172,0.97097999,6221087.5,-16.595982,15.895828,0.92704201,43548.535,1.61869,78.40815,3.5154541,10.199957,14.242379,0.93854499,0.89207602,20370.498,48.057842,4.4094219,0.95025897,50.469021,8.488946,1.080874,48111.363,-17.939445,17.569834,0.94708002,-60.212585,9.4835835,0.87839901,277669.72,10.865723,9.5838108,1.067842,40.067471,9.7316236,0.83191597,70013.141,-51.250149,9.8303576,1.16458,-88.600983,5.3563018,1.028963,178548.98,-38.80722,-11.509546,0.81035,32913.945,76059.891,139.82812,1.1999069
7,5677138.5,-23.245569,9.933383,1.02083,-28.608154,7.2789001,1.128023,4688218.0,-18.721216,17.369333,1.144083,38666.797,1.697024,72.675308,3.0038619,9.2282333,16.591137,1.145103,0.92309397,44587.48,51.36795,3.7534139,1.094582,51.351028,9.4210491,1.034409,16147.558,-21.954512,12.07939,1.136004,-53.749443,9.7599936,1.0890599,134189.47,8.1911192,7.7673349,0.83421499,36.776558,7.2877622,1.05179,113031.07,-54.834354,6.78405,0.96785903,-89.052399,6.7471581,1.163869,95846.594,-35.840557,-10.438608,1.03909,59908.52,22989.254,90.322212,1.188669
8,4598227.0,-25.160744,9.1379108,0.81992799,-24.387486,7.029912,1.0889651,5320989.0,-19.355862,19.848883,0.93101603,44613.484,1.517223,72.278816,6.6159801,9.2211246,17.275225,1.05044,0.95146602,65924.18,47.036617,4.8572211,0.82515401,50.794968,8.54002,0.93920302,21102.754,-15.832909,12.543128,0.830194,-57.706299,9.116251,0.88617003,267019.5,11.093229,6.9716539,0.81653202,37.399837,8.9179544,1.0000401,129778.04,-55.413284,9.6614952,0.80497998,-89.345062,6.3171721,0.82012099,100500.27,-44.034611,-9.8825693,1.131775,79158.641,78184.906,42.356529,1.09038
9,2418853.8,-26.751486,10.79911,1.0889651,-20.976063,5.6924462,1.009985,3104941.5,-17.044514,15.912564,0.92315298,60808.5,1.749997,76.362305,4.0909958,9.3053408,18.821133,0.933465,1.103914,20207.102,50.694969,3.7651391,0.93920302,46.094067,10.964863,0.836209,15330.728,-18.006296,16.676067,0.88617003,-56.443722,8.1977787,0.82995898,101159.12,11.499837,8.3234234,1.0000401,38.991093,7.9263768,1.177901,43465.059,-53.611065,7.7600412,0.82012099,-91.095093,5.5996041,1.0117429,216275.53,-38.184792,-8.121006,0.81147498,79099.266,62544.473,74.322601,0.78388202
10,7464891.0,-25.165485,8.2348413,1.178983,-26.236406,5.3776889,1.05488,2288141.5,-21.773046,21.182428,0.803487,31982.254,1.558768,74.463509,4.6610398,9.1702871,13.379065,0.81576699,0.91576701,48918.602,47.207218,4.2321372,1.1979721,48.578747,11.480275,0.832017,39782.738,-23.187176,13.700508,1.15906,-58.398731,9.8282022,0.99782503,117802.98,10.442396,7.8068018,1.090829,41.80048,7.4064322,0.91328299,126273.33,-51.780312,7.2448192,1.011444,-89.615128,7.2840071,0.80843502,70002.125,-40.923569,-11.905615,0.94537199,62512.48,28017.027,80.237389,1.129156
11,5095925.5,-22.617451,9.8633947,0.83523703,-28.528275,6.3555632,0.91344303,5396036.0,-16.957302,17.138514,1.063009,20280.211,2.038723,69.348541,2.4433939,10.138366,15.288454,0.86189198,0.96203703,33207.043,47.444584,4.3000398,1.171775,44.891228,11.587092,0.80856901,37541.246,-22.308996,15.954103,1.0378031,-58.998875,8.2409868,0.82312602,164795.91,6.8122182,8.8852234,1.054811,41.150368,8.2634764,1.0914479,70367.695,-50.668442,8.3775959,0.82602203,-87.60247,7.066565,1.15293,240839.62,-37.059059,-8.4283876,1.106501,39956.75,50785.777,89.624252,1.160947
12,6355861.0,-21.959055,8.9698668,0.86648202,-20.888653,6.805346,1.081385,3479124.5,-14.955234,16.567724,0.98452002,39840.672,1.887825,72.128525,1.335673,8.3938475,18.4326,1.022611,0.94616002,29386.881,44.250557,4.8967428,1.145893,45.415157,10.34065,0.99174201,30965.66,-20.192417,12.491397,0.92554599,-59.409897,7.492137,0.92929,339611.59,12.801354,8.5195923,0.82612199,32.240608,7.955452,0.95810801,85262.734,-48.561474,8.5292101,0.82424498,-87.098221,7.9408188,0.81840599,75741.461,-36.025585,-10.958213,1.108389,63731.18,43035.949,95.914963,1.061192
13,4457905.0,-24.573212,8.1069422,0.83458197,-27.363091,5.3886089,0.976318,6198502.5,-15.70887,17.329781,0.84081501,49853.785,2.0181849,76.492538,3.9061739,9.5885277,15.999677,0.97811502,0.84535199,52753.488,45.108963,3.707319,1.147819,49.544319,11.401312,1.096386,44803.98,-23.005295,12.764499,0.862629,-57.723816,7.6457028,0.86089897,115492.12,13.056381,9.765542,1.002749,34.037998,9.1710796,0.85019898,135946.47,-54.078766,9.1858368,1.130845,-88.198402,6.9016738,0.94875699,140510.36,-36.890759,-9.3809433,1.049659,48268.91,68723.664,121.9461,1.232982
14,4824723.5,-24.089071,10.980152,0.83007902,-25.52632,6.2106671,1.107916,6164028.5,-12.957201,19.55566,1.072588,28467.176,1.54934,75.54686,-0.0077340002,10.752233,15.304618,1.1344171,1.06432,46306.352,46.307125,4.7657661,1.056752,53.443039,11.378603,1.0994281,43250.906,-19.308813,13.533217,0.915259,-60.544449,9.4716101,0.92075503,103224.1,15.658978,7.0918622,1.0177751,34.582436,9.1988335,1.024819,131895.11,-48.911617,6.9940429,0.909091,-88.182327,7.7778459,1.015215,115137.91,-38.687874,-8.7880268,1.051445,100848.65,65127.457,101.57115,1.187098
15,4057700.5,-22.182018,10.760988,1.159844,-22.04661,6.5175519,0.97491199,6134799.0,-13.712198,18.411966,0.948502,33254.52,1.718435,74.013336,1.688529,11.59992,14.659649,0.88235599,1.175041,26162.596,47.436295,4.3635702,1.096251,44.712471,11.039563,1.124396,40660.906,-14.189003,13.830185,1.017261,-53.527065,9.2463264,1.074616,296618.19,6.5350728,8.8324451,0.91181302,37.186226,8.7226181,1.066238,149101.48,-49.371983,8.4704628,0.965918,-83.692101,5.6150289,1.113204,134991.81,-37.347382,-10.021312,1.02621,58486.348,46288.062,103.22736,1.152421
16,5128173.0,-23.544598,9.8750668,1.040665,-26.20414,6.8274331,1.026744,2465738.0,-20.113487,16.915049,0.97734302,26172.328,1.596226,72.76693,2.6357789,11.112003,17.502789,0.90348297,1.1263289,35461.059,46.202934,4.7634749,0.96934301,50.829124,8.0593901,0.93010098,47554.867,-18.590006,17.123383,1.116443,-54.483215,6.7982702,1.0342129,93008.133,10.583336,8.7740831,1.058589,40.504074,8.2860928,0.947779,62488.242,-48.99279,7.0120521,0.81216103,-88.231262,6.2054238,0.97682297,133845.66,-36.007206,-9.5921659,0.93707299,46087.086,68078.062,83.395149,1.2069629
17,6482974.0,-23.440516,9.4122009,1.0930361,-26.375582,5.7985659,1.043828,6148761.0,-18.570883,21.004406,1.083506,66321.633,2.060271,77.658058,4.619122,8.3142719,16.927555,1.01881,1.0739551,50026.059,46.98777,5.1736369,1.081918,44.114819,10.290211,0.931113,29163.166,-14.430201,12.440902,1.157726,-54.05579,8.2470722,0.85316902,342850.97,14.657576,9.4026155,0.93906802,35.129482,8.9681129,0.89208901,141830.08,-47.497776,9.4618378,0.997877,-89.256241,5.4386568,1.1556751,86338.141,-41.810001,-11.775683,1.000825,69319.016,53429.387,95.42791,1.10052
18,5816985.5,-22.83646,10.592837,0.945678,-22.899118,7.1093411,1.170058,3234854.0,-21.346325,19.939575,1.078789,38209.824,2.0781269,76.637169,-0.57858503,9.8458652,17.440577,1.199469,0.83649403,31672.584,47.298103,4.8062949,1.015249,45.088326,8.3315907,0.862284,37245.43,-14.648517,15.861341,1.025456,-59.873936,8.9787817,0.871831,127038.23,6.972683,8.0255671,0.81857097,35.253231,8.1949492,0.91669399,79011.875,-52.683075,7.4465952,1.058275,-84.437202,6.3163981,1.125172,110594.54,-37.113213,-11.548734,0.84530199,70339.102,51889.867,137.8558,1.028623
19,5998135.5,-23.75555,9.5814734,1.069522,-20.071886,5.0662041,1.075636,3160714.5,-14.231347,16.864597,1.187838,52858.766,1.5570019,74.510788,3.1583979,10.142505,18.352137,1.131723,1.00793,22898.832,48.181713,4.6019459,0.87540799,52.474724,11.619569,1.190375,27468.748,-20.826101,15.785041,1.13692,-58.794891,7.907701,0.85074902,159005.56,11.381714,7.3566108,1.007005,35.982224,10.050066,1.063911,96213.117,-52.194397,9.4656267,1.070488,-90.373894,6.2339468,1.0576169,131254.61,-36.438587,-8.1059399,1.144191,64849.273,37676.863,141.89896,0.86625898
20,6951623.0,-21.882229,8.9768896,0.80091101,-20.724051,6.4379559,1.021786,4431004.0,-16.996132,17.0263,1.14973,54027.988,1.637828,77.822517,3.463635,7.8421712,15.184926,1.086357,1.156778,39842.199,49.526352,4.2550502,1.0606821,49.552719,10.189336,0.85759699,47876.586,-19.088537,17.736176,1.003785,-53.652943,6.8467078,0.80976999,116483.15,9.3580399,7.1813922,0.89344603,41.873272,7.6570778,0.87048101,135874.44,-47.721199,9.1729307,1.078229,-85.391693,6.3043499,1.004236,96687.359,-40.525932,-11.753107,0.84236902,86032.07,69069.0,140.64644,0.97006702
21,5320330.0,-23.725315,8.3638582,0.93308198,-23.133387,6.575233,1.192528,5453797.0,-16.137844,17.311436,0.96126598,58341.832,1.5366091,72.905602,6.9157848,10.399334,18.252113,0.97150397,1.068373,57933.785,47.470444,5.157589,0.82644999,48.040787,8.9655361,0.82573301,17301.619,-20.481308,12.489338,1.000962,-57.773361,9.8155642,1.106745,104098.74,7.1785979,9.9399576,1.094218,34.917091,8.7519627,0.81933498,120314.25,-49.582813,7.845767,1.195774,-87.3815,6.7228732,1.177408,95421.242,-38.666283,-10.546066,0.94472498,62801.449,28239.086,148.73357,0.75801998
22,2847551.5,-22.814648,11.228617,1.0863169,-23.518185,5.2578859,1.065966,1850221.4,-19.047604,21.517345,0.88116699,38104.699,1.775169,70.156097,-0.49480399,9.6909962,18.74045,1.093206,0.85979402,48301.301,44.376785,4.1991358,1.070399,44.42757,8.4909163,1.173875,25710.381,-23.047684,12.011246,0.91639102,-57.834251,8.8934689,1.0210429,142220.45,9.3500538,7.1311579,0.90815401,32.612415,8.036561,0.96027899,86948.953,-47.669415,8.9030495,0.93357903,-87.213737,5.5517859,0.99480498,189871.25,-35.48888,-8.7190685,0.81524301,69114.008,43710.902,70.744675,0.817967
23,7404166.5,-23.120268,10.550883,0.87886298,-27.478607,5.9442568,0.924375,5163882.5,-18.784176,18.394953,0.94913203,26607.182,1.518434,69.627518,1.856066,9.3316164,13.664163,0.981525,0.87805903,39126.211,49.512672,4.4772072,0.97529602,45.938381,10.126478,0.98194999,32352.412,-16.788877,13.584062,0.82336402,-59.515587,7.5044141,1.093604,115125.73,13.07865,8.639307,1.104001,36.888554,8.3330278,1.118476,83131.859,-47.472897,7.2165718,1.178836,-87.818069,6.2173381,0.80617398,132518.8,-36.706253,-10.915952,1.102278,97127.688,31593.496,153.41492,1.16689
24,3468563.2,-25.77107,9.2135372,1.011759,-22.262877,5.5314298,0.82336402,3207363.2,-19.775688,21.493458,0.83722299,51591.117,1.899856,76.800026,2.718555,9.0552244,17.78377,0.931207,1.198324,27177.436,53.170898,4.46106,0.93112999,43.954346,9.4975004,1.13175,22662.953,-15.743051,17.471359,0.87729001,-53.220947,9.2947998,1.018312,255901.31,13.251843,7.8072629,0.87466699,36.55238,10.152253,0.93613499,99131.031,-49.863148,9.2885666,0.857104,-84.361267,6.3309689,0.87581801,93816.414,-38.339848,-11.23764,1.112077,59001.715,37777.434,114.41972,1.085176
25,3634183.8,-27.694935,9.5868692,0.83486301,-20.977728,5.0384169,0.902022,5987824.5,-14.25862,23.392206,0.83218801,25910.926,2.1912589,69.727592,1.371042,9.4507647,15.211295,0.92349303,1.1496969,52091.719,49.157059,4.13517,0.81391197,53.386993,11.432435,0.944884,20849.867,-18.228792,13.412833,0.87137002,-57.717098,8.3291788,1.190047,241688.39,8.0279598,8.2393789,1.0967669,34.240795,9.8756819,0.909455,121902.96,-57.001019,6.812429,0.98947901,-90.642166,6.4377179,0.87162203,166554.44,-38.296753,-10.210459,1.108862,55692.25,32681.521,72.274796,1.105469
26,3732355.0,-21.979174,10.657616,1.190146,-27.969294,5.3611922,1.1950051,1758519.4,-19.113958,18.990412,0.95668501,31745.326,2.111969,76.080727,3.2870581,9.1913548,12.941201,1.18348,1.145535,35472.691,45.926632,4.4125328,0.894189,45.584251,10.092934,1.015754,49066.863,-17.681911,13.156776,0.980878,-55.580814,7.294981,1.097298,163882.39,12.464595,6.8644738,0.83055103,36.736984,8.1082211,0.96413398,64407.156,-51.809792,8.7611208,0.97895402,-85.443443,6.3584838,0.884543,114898.39,-37.890614,-9.1087751,0.92353398,99819.953,69614.102,82.861115,1.040795
27,2943548.8,-26.103683,8.0353107,0.96846199,-27.380236,5.6837888,0.81725502,5119946.5,-18.037689,19.508215,1.159166,20494.6,2.0260611,71.610451,7.7872448,8.3546343,12.79533,0.94231403,1.154057,60739.531,45.729794,3.845669,0.87701398,51.66901,10.731682,0.81405002,26122.414,-16.553444,12.85196,0.948645,-59.515923,7.5808868,0.96178597,184626.33,9.2879667,7.2117128,0.82045501,37.765987,10.364111,1.11798,52189.07,-53.472698,9.826395,1.035396,-85.420242,6.9050369,0.83676898,102128.0,-43.45055,-8.9091864,1.164165,28332.053,64978.418,154.98953,0.876912
28,6521808.0,-23.466949,8.8826971,1.03745,-21.531225,5.3608818,0.82701099,6206605.0,-18.282232,20.703924,0.96188998,22388.545,2.0826809,71.479652,6.0789518,8.9769926,16.668114,0.97935402,0.86868203,43611.871,51.707115,5.2294378,0.802517,44.517159,11.943667,0.98812699,46172.703,-14.206333,12.665357,0.92234802,-56.842991,9.669631,1.039915,240463.64,13.133372,9.0464964,1.186923,41.471287,9.6666832,0.82554102,68237.234,-52.123535,8.3950567,0.80603302,-88.697746,7.4951448,1.1548671,68382.141,-44.870041,-8.1476374,1.058605,69274.852,38278.383,94.763321,1.14606
29,3601768.0,-24.465384,8.4624615,1.0126359,-23.385944,6.3827128,1.08883,3718574.8,-12.716906,19.299612,1.172075,52911.891,2.040355,74.569336,7.7498379,9.9045029,17.218925,1.1277879,0.86860901,42819.285,47.06266,4.3046031,1.135401,45.981632,10.151295,1.111161,27370.15,-22.070499,14.511372,0.86783701,-57.693188,7.146656,1.133997,314707.91,10.548612,7.926074,0.83232301,36.425529,9.4228382,1.065841,121693.08,-54.466019,7.3065901,1.010038,-85.486801,6.9335499,0.85721397,77681.125,-39.770588,-8.1391716,0.82576102,69714.109,48799.934,135.53334,1.191811
30,3630482.2,-29.5811,8.7348661,0.83223099,-21.382021,5.779778,1.0832371,4925212.0,-18.761093,22.864868,0.86716002,32609.408,1.558432,74.130737,-1.215378,8.2776842,14.685698,1.124711,1.070863,26176.301,48.372959,3.581907,1.090968,44.892872,10.291672,1.035704,41720.938,-22.409557,17.17437,0.97880602,-54.998615,6.8945532,1.102458,294923.62,12.023873,6.9167218,1.07347,36.141277,7.536799,1.058266,141772.02,-50.432156,8.2494965,1.187235,-85.794899,7.8541889,0.86786997,206704.39,-38.491795,-9.9613791,0.85283798,36096.008,73563.352,95.144356,1.207395
31,4657802.0,-23.610809,9.6019182,1.190207,-24.853243,6.1674118,1.022047,2331382.8,-18.707003,18.354918,1.0394289,43764.887,2.182786,71.971565,2.6612439,11.46465,18.156485,0.97092003,0.87825102,28986.316,45.920162,4.4844799,1.103388,44.031185,11.135746,1.189098,34766.273,-14.682048,14.05099,0.96681398,-56.60202,8.7251205,0.96178198,329335.19,7.7434182,9.4609089,0.97868401,41.489037,8.3733997,1.184678,98942.039,-54.618145,9.0553265,0.94683498,-86.745285,7.219913,1.111861,77125.625,-44.281357,-9.0013218,1.1349649,48368.781,60657.695,130.93797,1.102289
32,4859164.5,-24.518877,8.9714603,1.1872441,-26.3267,6.6795869,1.131616,4581639.0,-14.100768,17.036694,0.97461599,33019.16,2.1110179,73.018974,6.5664458,9.4544001,17.625475,1.137134,1.152421,43577.043,50.512886,5.0391221,1.1341439,50.913967,11.73325,0.96322,32981.523,-20.633675,13.800624,0.965505,-59.876678,9.8303452,1.0378391,246229.09,8.3931351,7.6393661,1.01509,34.70359,8.0674772,0.94273603,100062.41,-49.320557,9.1079168,1.190982,-90.158554,7.386198,1.133479,103226.45,-35.431042,-10.146124,1.0617189,66383.242,33003.863,59.292702,1.158818
33,4767321.0,-23.42499,10.669619,1.152421,-23.562815,6.5509238,1.145255,5593269.5,-15.541033,23.107615,0.96322,43854.875,1.686643,72.201042,1.967629,9.0458441,19.061277,1.0378391,1.031451,28694.986,46.436211,4.4663978,0.908144,46.209656,9.4085026,0.98508298,42914.156,-15.539747,17.864737,0.92025799,-55.345451,9.2945261,0.888659,348361.94,10.734689,8.918438,1.007094,34.167313,7.8243909,1.127055,56780.719,-50.528343,7.5354872,1.070171,-89.941994,5.9789972,1.080284,123203.62,-38.041893,-8.5756865,1.090266,71232.516,74241.453,153.03137,1.121833
34,3999266.0,-24.383722,8.7159653,0.89543498,-21.766897,5.6903391,1.078324,5694784.0,-15.398358,20.281105,1.16161,65705.984,2.020566,76.896645,3.9448209,7.9347072,18.521927,0.85358202,1.1758339,26977.004,50.567001,3.6587169,1.19124,45.453861,9.3026056,1.0728641,13900.813,-16.007011,17.477432,1.1340539,-62.020638,7.0049911,1.18515,111292.74,14.990044,9.5143576,1.061649,41.352539,9.9672632,1.053587,59060.957,-48.890636,8.8506756,1.138206,-83.498589,5.6818271,0.83148599,107155.7,-35.164471,-8.5866413,0.97744399,74216.227,34901.207,42.416485,0.89740503
35,8344358.5,-22.067163,9.1364708,0.96232402,-19.148659,5.0436521,1.11458,5233859.5,-20.590115,16.127562,0.90329701,35991.887,2.021883,73.184731,0.45198801,10.999908,17.542006,1.060593,0.86627197,53788.375,47.063801,4.0407581,0.91288698,48.467934,9.20156,1.146193,49295.293,-21.485174,12.047324,0.908894,-60.313198,8.3031473,1.139414,112493.5,13.096098,9.1923561,1.035354,40.490505,8.7222605,0.836124,149604.23,-50.759995,9.6745129,0.97300398,-88.588585,6.0241508,0.89934802,184289.53,-36.053581,-9.7680225,0.99521703,45856.145,32008.453,104.77495,1.013165
36,3895198.5,-22.649693,9.4454937,1.155102,-19.909847,5.918705,1.0780849,4593405.5,-19.104118,16.80451,1.077612,43277.719,1.679273,76.474564,-2.0279369,10.195814,15.497778,0.96672398,0.939448,62674.02,47.394653,4.2564168,0.80788702,47.070862,8.0410299,0.83819097,31378.699,-21.60187,13.232322,1.1103981,-56.88047,7.5529671,1.170042,210121.58,8.5576601,7.2450871,1.122259,36.390106,9.1750803,0.81822699,115576.61,-54.46875,8.2008009,1.060204,-83.362831,8.0069056,1.1839761,112492.49,-37.285904,-10.932674,1.135448,101930.16,64960.301,55.353207,0.93683702
37,6580280.5,-22.191599,8.5759525,1.170567,-27.376333,6.0474272,1.19613,2144588.5,-14.505613,16.719585,1.040405,50680.043,1.763033,77.426613,1.361998,11.233023,18.113087,0.89212298,1.177279,41218.945,46.187607,5.2679801,0.90634698,45.384396,10.019732,1.1319751,45981.215,-22.624254,13.724899,1.181483,-55.165096,8.4282217,0.93164003,260725.78,13.838538,6.9462752,0.95996898,37.550495,7.9589248,1.077575,133120.86,-52.244133,8.8516722,0.95963198,-92.148262,5.9096112,0.89305198,81474.719,-39.692616,-8.8529377,1.154443,87670.172,52973.66,65.302017,0.831833
38,6180244.5,-21.522781,8.7907658,1.0909261,-28.578089,5.4992342,1.000147,3487845.2,-14.263791,21.521826,0.81655502,44401.855,2.0344241,78.118256,-1.741968,7.9537282,17.279888,0.84945101,0.875525,34339.379,46.041794,4.1793032,1.185253,46.161449,8.2037573,1.171508,21908.527,-17.050701,17.810959,0.99727201,-60.666782,8.1874495,0.99999702,240082.66,9.7688599,9.5383434,1.1527129,33.695038,8.6885281,1.0998,128539.09,-48.379341,8.2705717,0.86255801,-87.232475,5.5250511,0.965339,67847.195,-42.449577,-10.040401,1.07342,63665.844,78833.289,141.57043,0.95329499
39,8113234.5,-22.310717,7.7273922,0.91580302,-28.419678,6.0978179,1.10218,4301166.0,-15.477013,19.965006,0.856332,65393.75,1.710507,76.491661,4.3439999,9.1982908,18.726355,1.1264729,1.105512,29547.518,49.245667,3.568845,1.133292,46.763893,10.043086,1.149668,44924.836,-16.832642,17.098434,0.957223,-55.586933,9.8373604,1.093641,261112.86,15.9222,9.4721251,1.043855,39.009842,7.5521359,1.0518661,79325.492,-52.020763,7.1324129,1.175174,-86.706673,6.5008078,1.181698,78749.031,-43.92754,-10.135358,1.198644,31669.73,75736.672,140.65323,1.055303
40,7802167.0,-24.002335,7.7320762,1.153475,-28.329899,5.3088722,0.97542399,3179654.8,-15.007546,17.709526,0.94746798,44683.391,1.683022,69.609764,6.3678031,11.435275,18.133808,0.88849699,1.069761,41259.52,48.817455,4.889235,0.92038,49.039509,11.08376,1.045872,44966.297,-20.204687,16.00452,0.81563401,-55.320953,8.718648,1.18349,104686.43,11.730159,9.8551311,0.86718899,35.886215,10.274483,0.89016199,160372.56,-52.602093,9.1462278,0.83280802,-90.429634,7.2170172,0.85145301,97676.883,-40.538803,-10.04576,0.89502603,60459.145,74289.172,46.576969,1.214856
41,3886952.8,-23.680376,10.628437,1.053575,-27.551012,6.3500919,1.130561,2363832.2,-18.149323,16.412399,1.119583,45497.715,1.595693,77.287209,1.842757,10.221354,16.830223,0.91897798,1.177487,35620.531,47.791012,4.7292929,0.97079998,46.77248,11.286703,1.09917,12791.846,-15.085891,17.926311,1.133194,-58.665043,8.3971653,0.91799903,198334.53,12.992009,8.2854977,0.97597301,34.174721,8.2249136,1.039207,56792.125,-52.470589,7.8472638,1.02213,-91.264511,6.6195421,0.86803299,162662.59,-40.89925,-11.415332,1.1550421,61163.051,74844.461,64.629791,1.232404
42,7180908.5,-23.812216,11.176318,1.06487,-26.532537,7.2715769,0.97955298,4944485.5,-19.061104,23.52924,0.99214798,31164.5,1.9638489,72.350838,0.98846,10.061814,17.829353,1.14191,1.053848,31935.658,48.483093,3.5613501,0.81749302,50.364468,8.3983574,0.87068599,23683.859,-15.865418,17.259207,0.90594202,-57.470325,7.7957411,1.1747659,258131.45,7.0322571,8.1484537,1.1270061,34.907585,8.7655382,1.016524,87627.969,-51.302376,8.197113,0.82705897,-92.764587,6.0971341,0.89751297,207026.52,-37.033745,-10.019718,1.130419,54554.648,59847.102,109.29352,1.1170909
43,5284369.5,-27.400749,8.151618,1.177714,-20.935783,5.7218409,1.009135,4218216.0,-20.146246,20.963879,1.018319,25032.223,1.9408489,75.365105,-1.862506,9.2841787,14.238567,0.95989102,1.197227,47668.82,48.29248,4.6558628,1.198802,44.732697,9.4532213,0.88169497,49721.93,-13.466343,14.304497,0.96719903,-54.317112,8.1285801,1.105597,160538.53,15.933432,9.9435158,1.095204,37.173168,9.6540298,1.06664,162787.06,-52.663731,7.3768668,1.0631911,-84.345718,6.007503,1.122689,161492.28,-35.349503,-8.2501516,1.075168,98321.289,56189.652,154.2244,1.226831
